,compound,neg,neu,pos,id
987,-0.9959,0.038,0.96,0.002,WFeusywS8-k
988,-0.8729,0.018,0.969,0.013,WGjwdz5O3c8
989,1.0,0.063,0.696,0.241,WH-Knb5DwBg
990,-0.9911,0.083,0.875,0.041,WJ7Lu2NTLPc
991,0.6401,0.039,0.926,0.035,WJuPd1vOw30
992,0.9999,0.019,0.904,0.076,WLYh3VLYXX4
993,0.9979,0.095,0.764,0.141,WMrxyGZ96Bc
994,-0.7576,0.024,0.961,0.015,WRoabsZRTlg
995,0.9123,0.015,0.955,0.03,WSJTUEn4RpA
996,0.9988,0.073,0.794,0.133,WTXlb42lYyU
997,1.0,0.02,0.734,0.246,WYk5yyHvpvE
998,-0.9993,0.078,0.917,0.005,WYoEBc1wi60
999,1.0,0.06,0.737,0.204,W_C5F_-_Wh0
1000,-0.9816,0.053,0.922,0.026,WchptCf9Atc
1001,0.9719,0.028,0.938,0.034,We7fSfrmTgU
1002,-0.9993,0.082,0.906,0.012,WhD4UElVinM
